wellName,datasetName,MD,AZIM_TN,DX_TN,DY_TN,INCL,THL_TN,TVD,TVDBML,TVDSS,Z
,,m,dega,m,m,dega,m,m,m,m,m
BEKOK DEEP-1RDR1,Index,108.51,72.0199966430664,0,0,0.499999996563878,0,108.51,4.21000000000001,74.51,-74.51
BEKOK DEEP-1RDR1,Index,108.6624,72.0512625733035,0.00126569484168614,0.00041035440735451,0.500473825046432,0.00133055408454756,108.662394191575,4.36239419157451,74.6623941915745,-74.6623941915745
BEKOK DEEP-1RDR1,Index,108.8148,72.0825243491346,0.00253282692236682,0.0008203621980472,0.500947822108812,0.00266236867311416,108.814788372138,4.51478837213834,74.8147883721383,-74.8147883721383
BEKOK DEEP-1RDR1,Index,108.9672,72.1137929551549,0.00380139624192277,0.00123002337203948,0.501421987272939,0.00399544421335762,108.967182541677,4.66718254167714,74.9671825416771,-74.9671825416771
BEKOK DEEP-1RDR1,Index,109.1196,72.1450547309861,0.00507140280023461,0.0016393379292928,0.501896320062372,0.00532978115166614,109.119576700177,4.81957670017658,75.1195767001766,-75.1195767001766
BEKOK DEEP-1RDR1,Index,109.272,72.1763233370064,0.00634284659718281,0.00204830586976862,0.502370820002301,0.0066653799331627,109.271970847622,4.97197084762232,75.2719708476223,-75.2719708476223
BEKOK DEEP-1RDR1,Index,109.4244,72.2075851128375,0.00761572763264769,0.00245692719342847,0.502845486619542,0.00800224100170934,109.424364984,5.12436498400001,75.424364984,-75.424364984
BEKOK DEEP-1RDR1,Index,109.5768,72.2388537188579,0.00889004590650947,0.00286520190023389,0.503320319442529,0.00934036479991155,109.576759109295,5.2767591092953,75.5767591092953,-75.5767591092953
BEKOK DEEP-1RDR1,Index,109.7292,72.2701223248782,0.0101658014186482,0.00327312999014644,0.503795318001311,0.0106797517691225,109.729153223494,5.42915322349387,75.7291532234939,-75.7291532234939
BEKOK DEEP-1RDR1,Index,109.8816,72.3013841007093,0.0114429941689438,0.00368071146312774,0.504270481827541,0.0120204023494473,109.881547326581,5.58154732658134,75.8815473265813,-75.8815473265813
BEKOK DEEP-1RDR1,Index,110.034,72.3326458765405,0.0127216241572761,0.00408794631913942,0.504745810454475,0.0133623169797475,110.033941418543,5.73394141854341,76.0339414185434,-76.0339414185434
BEKOK DEEP-1RDR1,Index,110.1864,72.3639144825608,0.0140016913835248,0.00449483455814316,0.505221303416963,0.0147054960976448,110.186335499366,5.88633549936571,76.1863354993657,-76.1863354993657
BEKOK DEEP-1RDR1,Index,110.3388,72.3951830885811,0.0152831958475693,0.00490137618010067,0.505696960251445,0.016049940139526,110.338729569034,6.03872956903392,76.3387295690339,-76.3387295690339
BEKOK DEEP-1RDR1,Index,110.4912,72.4264448644123,0.0165661375492891,0.00530757118497367,0.506172780495944,0.0173956495405467,110.491123627534,6.19112362753367,76.4911236275337,-76.4911236275337
BEKOK DEEP-1RDR1,Index,110.6436,72.4577134704326,0.0178505164885634,0.00571341957272395,0.506648763690058,0.0187426247346356,110.643517674851,6.34351767485063,76.6435176748506,-76.6435176748506
BEKOK DEEP-1RDR1,Index,110.796,72.4889752462637,0.0191363326652714,0.00611892134331331,0.507124909374958,0.0200908661544989,110.79591171097,6.49591171097046,76.7959117109705,-76.7959117109705
BEKOK DEEP-1RDR1,Index,110.9484,72.5202438522841,0.0204235860792919,0.00652407649670357,0.50760121709338,0.0214403742316241,110.948305735879,6.64830573587882,76.9483057358788,-76.9483057358788
BEKOK DEEP-1RDR1,Index,111.1008,72.5515124583044,0.0217122767305039,0.00692888503285662,0.508077686389619,0.0227911493962846,111.100699749561,6.80069974956135,77.1006997495613,-77.1006997495613
BEKOK DEEP-1RDR1,Index,111.2532,72.5827810643247,0.0230024046187861,0.00733334695173434,0.508554316809524,0.0241431920775435,111.253093752004,6.95309375200372,77.2530937520037,-77.2530937520037
