wellName,datasetName,DEPTH,CALI,DTCO,DTSH,GR,NPHI,RHOB,RT
BEKOK DEEP-1RDR1,EDIT,570.4788785,13.10201552,134.9548353,416.6183959,88.53236389,0.511883034,2.193262655,1.759292928
BEKOK DEEP-1RDR1,EDIT,570.6312785,13.00537345,133.7230882,384.4653053,80.42212677,0.471374624,2.226283601,2.1464157
BEKOK DEEP-1RDR1,EDIT,570.7836785,12.8358682,133.7452169,350.5011466,73.74774933,0.447507836,2.247287398,2.532998923
BEKOK DEEP-1RDR1,EDIT,570.9360785,12.8073153,134.3425228,334.6222417,70.44523621,0.41920477,2.238574878,2.650962691
BEKOK DEEP-1RDR1,EDIT,571.0884785,12.88179729,132.644212,333.5160212,72.61598969,0.39726379,2.212804185,2.605329297
BEKOK DEEP-1RDR1,EDIT,571.2408785,12.97669795,131.5287992,343.3707394,75.02798462,0.387106014,2.18920372,2.560487454
BEKOK DEEP-1RDR1,EDIT,571.3932785,13.10913833,133.0732518,353.0101448,74.40316772,0.39899371,2.17538654,2.518049487
BEKOK DEEP-1RDR1,EDIT,571.5456785,13.13435089,133.6314835,353.6840366,73.27437592,0.425579173,2.171351012,2.469743679
BEKOK DEEP-1RDR1,EDIT,571.6980785,13.12332063,133.8491428,351.4155325,71.48143768,0.450132633,2.170763506,2.417766122
BEKOK DEEP-1RDR1,EDIT,571.8504785,13.15276679,134.1258426,353.2128302,71.10743713,0.473371158,2.168891499,2.37352146
BEKOK DEEP-1RDR1,EDIT,572.0028785,13.1950834,134.6893723,356.5867068,71.90120697,0.472247543,2.166312133,2.330348529
BEKOK DEEP-1RDR1,EDIT,572.1552785,13.22078234,135.4684793,355.8644872,75.16973877,0.484646989,2.163471811,2.297491308
BEKOK DEEP-1RDR1,EDIT,572.3076785,13.22329417,136.1958507,357.1801798,74.12787628,0.484373473,2.164249645,2.275297537
BEKOK DEEP-1RDR1,EDIT,572.4600785,13.21939114,136.3027206,360.5805167,72.65341187,0.480911687,2.165964127,2.271583242
BEKOK DEEP-1RDR1,EDIT,572.6124785,13.22861976,136.1403554,361.1565728,70.97667694,0.448551792,2.169060161,2.27087365
BEKOK DEEP-1RDR1,EDIT,572.7648785,13.22627482,136.5641404,360.3025735,73.30312347,0.429332296,2.171736438,2.269779842
BEKOK DEEP-1RDR1,EDIT,572.9172785,13.22652815,135.4709932,359.0878733,74.04805756,0.428971932,2.172701414,2.265827074
BEKOK DEEP-1RDR1,EDIT,573.0696785,13.22580126,135.4334403,360.847448,73.63686371,0.436200945,2.171457249,2.264415125
BEKOK DEEP-1RDR1,EDIT,573.2220785,13.22039051,135.4545554,362.4482658,73.1565094,0.424933604,2.170449466,2.268825845
BEKOK DEEP-1RDR1,EDIT,573.3744785,13.24143452,135.540329,360.0282766,75.12384033,0.403934291,2.17007344,2.272090371
BEKOK DEEP-1RDR1,EDIT,573.5268785,13.24128556,135.5742749,359.9897702,78.59091187,0.412960203,2.171288321,2.264750454
BEKOK DEEP-1RDR1,EDIT,573.6792785,13.21707673,135.7252472,359.8909352,81.20233917,0.440771801,2.169762668,2.24647717
BEKOK DEEP-1RDR1,EDIT,573.8316785,13.18279765,136.0184301,359.4536049,80.42462158,0.467197131,2.168277684,2.23210597
BEKOK DEEP-1RDR1,EDIT,573.9840785,13.23750124,136.2044004,360.4427035,76.15712738,0.480680089,2.170235944,2.22179731
BEKOK DEEP-1RDR1,EDIT,574.1364785,13.24582577,136.3784059,363.9642926,71.10053253,0.479535726,2.173337474,2.215510566
BEKOK DEEP-1RDR1,EDIT,574.2888785,13.26066798,136.6981073,363.5470146,69.63600159,0.490447976,2.173043573,2.211827143
BEKOK DEEP-1RDR1,EDIT,574.4412785,13.29192435,137.0494681,363.7300431,68.80120087,0.487615832,2.168868345,2.20997494
BEKOK DEEP-1RDR1,EDIT,574.5936785,13.28398771,136.8804626,364.1867743,72.37210083,0.482347256,2.168317935,2.213034532
BEKOK DEEP-1RDR1,EDIT,574.7460785,13.25435607,136.0538449,366.2311535,76.72014618,0.496127804,2.169613081,2.22322349
BEKOK DEEP-1RDR1,EDIT,574.8984785,13.22873715,134.8155146,368.6362323,77.37526703,0.504953034,2.174324949,2.246607048
BEKOK DEEP-1RDR1,EDIT,575.0508785,13.2171197,134.4912426,367.2447313,77.46611023,0.496286337,2.184186882,2.272596121
BEKOK DEEP-1RDR1,EDIT,575.2032785,13.22449088,137.164117,364.8074173,75.46639252,0.483984663,2.199380752,2.288878102
BEKOK DEEP-1RDR1,EDIT,575.3556785,13.2113444,140.6503438,364.4989989,80.51105499,0.467726433,2.210770272,2.227656879
BEKOK DEEP-1RDR1,EDIT,575.5080785,13.19462364,143.6332953,371.3012727,84.35102081,0.483272964,2.20984634,2.14293607
BEKOK DEEP-1RDR1,EDIT,575.6604785,13.18711834,145.3553478,385.3411655,88.60962677,0.487949108,2.200722804,2.067061296
BEKOK DEEP-1RDR1,EDIT,575.8128785,13.15897879,146.1697322,400.1724696,89.55815887,0.474417353,2.191825585,2.033685874
BEKOK DEEP-1RDR1,EDIT,575.9652785,13.1223294,146.682484,404.2402271,92.08712006,0.468584267,2.188216771,2.012217389
BEKOK DEEP-1RDR1,EDIT,576.1176785,13.11345574,147.0838968,408.4380242,94.50045013,0.46250692,2.187954999,1.977095563
BEKOK DEEP-1RDR1,EDIT,576.2700785,13.11638465,147.4417831,410.5932508,95.26957703,0.488452179,2.184510945,1.950662544
BEKOK DEEP-1RDR1,EDIT,576.4224785,13.12357182,147.8566549,412.4448694,93.05575562,0.496022098,2.180771139,1.927458962
BEKOK DEEP-1RDR1,EDIT,576.5748785,13.13978615,148.2646566,415.4420006,90.63704681,0.514640253,2.177583092,1.893101632
BEKOK DEEP-1RDR1,EDIT,576.7272785,13.15727951,149.0401476,416.5683649,90.86696625,0.515403838,2.176687464,1.850020566
BEKOK DEEP-1RDR1,EDIT,576.8796785,13.17549885,149.0051092,419.3418037,92.51383972,0.515658563,2.175601945,1.823623673
BEKOK DEEP-1RDR1,EDIT,577.0320785,13.17509478,148.3727795,421.596829,93.54430389,0.553801042,2.177282517,1.839994889
