wellName,datasetName,MD,AZIM_TN,DX_TN,DY_TN,INCL,THL_TN,TVD,TVDBML,TVDSS,Z
,,m,dega,m,m,dega,m,m,m,m,m
BEKOK DEEP-1RDR1 ST1,Index,0,0,0,0,0,0,0,-104.3,-34,34
BEKOK DEEP-1RDR1 ST1,Index,0.1524,0.0766176670249379,8.8832744974804e-07,2.88292406077561e-07,0.000702239420111506,9.33936919378309e-07,0.152399999996184,-104.147600000004,-33.8476000000038,33.8476000000038
BEKOK DEEP-1RDR1 ST1,Index,0.3048,0.153309225490916,3.55330979885872e-06,1.15316962426694e-06,0.00140447884022301,3.73574767737294e-06,0.304799999969475,-103.995200000031,-33.6952000000305,33.6952000000305
BEKOK DEEP-1RDR1 ST1,Index,0.4572,0.230074441944203,7.9949470469317e-06,2.59463165443821e-06,0.00210671826033452,8.40543227356301e-06,0.45719999989698,-103.842800000103,-33.542800000103,33.542800000103
BEKOK DEEP-1RDR1 ST1,Index,0.6096,0.306913002889789,1.42132391932998e-05,4.61267849637484e-06,0.00280895768044603,1.4942990707247e-05,0.609599999755804,-103.690400000244,-33.3904000002442,33.3904000002442
BEKOK DEEP-1RDR1 ST1,Index,0.762,0.383827896535435,2.22081862370288e-05,7.20731014977368e-06,0.00351119710055753,2.3348422977443e-05,0.761999999523054,-103.538000000477,-33.2380000004769,33.2380000004769
BEKOK DEEP-1RDR1 ST1,Index,0.9144,0.460815681106129,3.19797881769178e-05,1.0378526614245e-05,0.00421343652066904,3.36217290828881e-05,0.914399999175838,-103.385600000824,-33.0856000008242,33.0856000008242
BEKOK DEEP-1RDR1 ST1,Index,1.0668,0.537879264768355,4.3528045011499e-05,1.41263278893123e-05,0.00491567594078055,4.57629090220393e-05,1.06679999869126,-103.233200001309,-32.9332000013087,32.9332000013087
BEKOK DEEP-1RDR1 ST1,Index,1.2192,0.615015152386248,5.68529567390375e-05,1.84507139744128e-05,0.00561791536089205,5.97719627930726e-05,1.21919999804643,-103.080800001954,-32.7808000019536,32.7808000019536
BEKOK DEEP-1RDR1 ST1,Index,1.3716,0.692226278806717,7.19545233575316e-05,2.33516848688967e-05,0.00632015478100356,7.56488903938837e-05,1.37159999721845,-102.928400002782,-32.6284000027815,32.6284000027815
BEKOK DEEP-1RDR1 ST1,Index,1.524,0.76951243058635,8.8832744864713e-05,2.88292405720279e-05,0.00702239420111507,9.33936918220875e-05,1.52399999618443,-102.776000003816,-32.4760000038156,32.4760000038156
BEKOK DEEP-1RDR1 ST1,Index,1.6764,0.84687328756003,0.000107487621258046,3.48833810829834e-05,0.00772463362122657,0.000113006367075018,1.67639999492148,-102.623600005079,-32.3236000050785,32.3236000050785
BEKOK DEEP-1RDR1 ST1,Index,1.8288,0.924308582923492,0.000127919152534728,4.1514106400854e-05,0.00842687304133808,0.00013448691614973,1.8287999934067,-102.471200006593,-32.1712000065933,32.1712000065933
BEKOK DEEP-1RDR1 ST1,Index,1.9812,1.00181810323333,0.000150127338691691,4.87214165246435e-05,0.00912911246144959,0.000157835339042996,1.9811999916172,-102.318800008383,-32.0188000083828,32.0188000083828
BEKOK DEEP-1RDR1 ST1,Index,2.1336,1.07940467661473,0.000174112179725598,5.65053114532692e-05,0.00983135188156109,0.000183051635751309,2.13359998953009,-102.16640001047,-31.8664000104699,31.8664000104699
BEKOK DEEP-1RDR1 ST1,Index,2.286,1.15706499469484,0.000199873675632845,6.48657911855618e-05,0.0105335913016726,0.00021013580627088,2.28599998712247,-102.014000012878,-31.7140000128775,31.7140000128775
