wellName,datasetName,DEPTH,VAR_BADHOLE,VAR_COALCUT,VAR_CWB_GRAD,VAR_GR_CLN,VAR_GR_CLY,VAR_HC_CORRECTION,VAR_HC_CORRECTION_2,VAR_LMSTRKCUT,VAR_M,VAR_N,VAR_NPHI_CLY,VAR_OGF,VAR_RHOB_CLY,VAR_RWF,VAR_SALW,VAR_SD_LN,VAR_SH_LN,VAR_SILTPOSRAT,VAR_SYNDENCL,VAR_SYNDENSD,X_+0_0,X_+0_5,X_+1_0,X_+1_5,X_+2_0,X_-0_5,X_-1_5
,,M,unitless,unitless,unitless,gAPI,gAPI,unitless,unitless,unitless,unitless,unitless,frac,unitless,g/cm3,ohm.m,ppm,frac,frac,%,g/cm3,g/cm3,unitless,unitless,unitless,unitless,unitless,unitless,unitless
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,920.0388,0,0.354000002145767,0.300000011920929,59.5460014343262,111.295806884766,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410444974899292,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.4872715473175,2.00499391555786,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,920.1912,0,0.35383403301239,0.300000011920929,59.5514831542969,111.301155090332,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410419970750809,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.48728895187378,2.00503277778625,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,920.3436,-1,0.353668063879013,0.300000011920929,59.5569648742676,111.306503295898,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410394966602325,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.48730635643005,2.00507164001465,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,920.496,-1,0.353502094745636,0.300000011920929,59.5624465942383,111.311851501465,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410369962453842,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.48732376098633,2.00511050224304,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,920.6484,-1,0.353336125612259,0.300000011920929,59.567928314209,111.317199707031,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410344958305359,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.4873411655426,2.00514936447144,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,920.8008,-1,0.353170156478882,0.300000011920929,59.5734100341797,111.322547912598,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410319954156876,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.48735857009888,2.00518822669983,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,920.9532,-1,0.353004187345505,0.300000011920929,59.5788917541504,111.327896118164,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410294950008392,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.48737597465515,2.00522708892822,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,921.1056,-1,0.352838218212128,0.300000011920929,59.5843734741211,111.33324432373,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410269945859909,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.48739337921143,2.00526595115662,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,921.258,-1,0.352672249078751,0.300000011920929,59.5898551940918,111.338592529297,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410244941711426,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.4874107837677,2.00530481338501,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,921.4104,-1,0.352506279945374,0.300000011920929,59.5953369140625,111.343940734863,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410219937562943,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.48742818832397,2.0053436756134,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,921.5628,-1,0.352340310811996,0.300000011920929,59.6008186340332,111.34928894043,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410194933414459,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.48744559288025,2.0053825378418,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,921.7152,-1,0.352174341678619,0.300000011920929,59.6063003540039,111.354637145996,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410169929265976,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.48746299743652,2.00542140007019,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,921.8676,-1,0.352008372545242,0.300000011920929,59.6117820739746,111.359985351563,0,0,0.653999984264374,1.85000002384186,1.85000002384186,0.410144925117493,1,-9999,0.100000001490116,-9999,-0.300000011920929,0.300000011920929,50,2.4874804019928,2.00546026229858,0,0.5,1,1.5,2,-0.5,-1.5
